league_id,league_name,week,matchup_id,roster_id,display_name,points
1256316848832524288,League 2,3,5.0,6,dbrauer23,92.48
1256316848832524288,League 2,3,5.0,7,Spicymeatball69,134.14
1256316848832524288,League 2,3,3.0,8,YourBeanFriend,120.42
1256316848832524288,League 2,3,2.0,9,NotKool,159.62
1256316848832524288,League 2,3,4.0,10,Nick0M,129.14
1256316848832524288,League 2,4,4.0,1,Caseyp12,156.72
1256316848832524288,League 2,4,1.0,2,ZLoftis9,119.18
1256316848832524288,League 2,4,2.0,3,PlayaHaterOTY,114.9
1256316848832524288,League 2,4,5.0,4,Gonzo4537,156.8
1256316848832524288,League 2,4,4.0,5,aIexwright,137.66
1256316848832524288,League 2,4,3.0,6,dbrauer23,109.02
1256316848832524288,League 2,4,5.0,7,Spicymeatball69,134.72
1256316848832524288,League 2,4,1.0,8,YourBeanFriend,147.66
1256316848832524288,League 2,4,3.0,9,NotKool,110.48
1256316848832524288,League 2,4,2.0,10,Nick0M,132.7
1256316848832524288,League 2,5,4.0,1,Caseyp12,163.58
1256316848832524288,League 2,5,1.0,2,ZLoftis9,121.88
1256316848832524288,League 2,5,2.0,3,PlayaHaterOTY,119.56
1256316848832524288,League 2,5,3.0,4,Gonzo4537,137.92
1256316848832524288,League 2,5,5.0,5,aIexwright,148.42
1256316848832524288,League 2,5,5.0,6,dbrauer23,143.32
1256316848832524288,League 2,5,4.0,7,Spicymeatball69,162.22
1256316848832524288,League 2,5,2.0,8,YourBeanFriend,145.22
1256316848832524288,League 2,5,3.0,9,NotKool,87.24
1256316848832524288,League 2,5,1.0,10,Nick0M,139.0
1256316848832524288,League 2,6,4.0,1,Caseyp12,183.84
1256316848832524288,League 2,6,1.0,2,ZLoftis9,151.58
1256316848832524288,League 2,6,2.0,3,PlayaHaterOTY,133.34
1256316848832524288,League 2,6,2.0,4,Gonzo4537,157.38
1256316848832524288,League 2,6,5.0,5,aIexwright,169.82
1256316848832524288,League 2,6,1.0,6,dbrauer23,106.12
1256316848832524288,League 2,6,3.0,7,Spicymeatball69,132.94
1256316848832524288,League 2,6,5.0,8,YourBeanFriend,105.0
1256316848832524288,League 2,6,3.0,9,NotKool,100.34
1256316848832524288,League 2,6,4.0,10,Nick0M,80.12
1256316848832524288,League 2,7,4.0,1,Caseyp12,167.06
1256316848832524288,League 2,7,1.0,2,ZLoftis9,115.88
1256316848832524288,League 2,7,2.0,3,PlayaHaterOTY,119.84
1256316848832524288,League 2,7,1.0,4,Gonzo4537,104.34
1256316848832524288,League 2,7,3.0,5,aIexwright,149.4
1256316848832524288,League 2,7,5.0,6,dbrauer23,106.94
1256316848832524288,League 2,7,2.0,7,Spicymeatball69,150.72
1256316848832524288,League 2,7,4.0,8,YourBeanFriend,140.26
1256316848832524288,League 2,7,3.0,9,NotKool,140.62
1256316848832524288,League 2,7,5.0,10,Nick0M,80.84
1256316848832524288,League 2,8,4.0,1,Caseyp12,84.12
1256316848832524288,League 2,8,1.0,2,ZLoftis9,131.02
1256316848832524288,League 2,8,2.0,3,PlayaHaterOTY,134.52
1256316848832524288,League 2,8,5.0,4,Gonzo4537,92.46
1256316848832524288,League 2,8,2.0,5,aIexwright,105.92
1256316848832524288,League 2,8,4.0,6,dbrauer23,109.6
1256316848832524288,League 2,8,1.0,7,Spicymeatball69,195.94
1256316848832524288,League 2,8,3.0,8,YourBeanFriend,165.08
1256316848832524288,League 2,8,3.0,9,NotKool,139.18
1256316848832524288,League 2,8,5.0,10,Nick0M,153.76
1256316848832524288,League 2,9,4.0,1,Caseyp12,156.5
1256316848832524288,League 2,9,1.0,2,ZLoftis9,119.84
1256316848832524288,League 2,9,2.0,3,PlayaHaterOTY,109.12
1256316848832524288,League 2,9,4.0,4,Gonzo4537,98.5
1256316848832524288,League 2,9,1.0,5,aIexwright,168.02
1256316848832524288,League 2,9,2.0,6,dbrauer23,175.86
1256316848832524288,League 2,9,5.0,7,Spicymeatball69,117.36
1256316848832524288,League 2,9,5.0,8,YourBeanFriend,139.52
1256316848832524288,League 2,9,3.0,9,NotKool,138.76
1256316848832524288,League 2,9,3.0,10,Nick0M,90.3
1256316848832524288,League 2,10,2.0,1,Caseyp12,160.7
1256316848832524288,League 2,10,1.0,2,ZLoftis9,146.68
1256316848832524288,League 2,10,1.0,3,PlayaHaterOTY,131.2
1256316848832524288,League 2,10,4.0,4,Gonzo4537,151.02
1256316848832524288,League 2,10,5.0,5,aIexwright,134.14
1256316848832524288,League 2,10,4.0,6,dbrauer23,112.0
1256316848832524288,League 2,10,5.0,7,Spicymeatball69,179.3
1256316848832524288,League 2,10,3.0,8,YourBeanFriend,122.2
1256316848832524288,League 2,10,2.0,9,NotKool,96.34
1256316848832524288,League 2,10,3.0,10,Nick0M,108.62
1256316848832524288,League 2,11,2.0,1,Caseyp12,193.72
1256316848832524288,League 2,11,1.0,2,ZLoftis9,111.0
1256316848832524288,League 2,11,2.0,3,PlayaHaterOTY,73.1
1256316848832524288,League 2,11,5.0,4,Gonzo4537,148.64
1256316848832524288,League 2,11,5.0,5,aIexwright,174.78
1256316848832524288,League 2,11,3.0,6,dbrauer23,113.7
1256316848832524288,League 2,11,4.0,7,Spicymeatball69,146.64
1256316848832524288,League 2,11,3.0,8,YourBeanFriend,70.46
1256316848832524288,League 2,11,1.0,9,NotKool,94.32
1256316848832524288,League 2,11,4.0,10,Nick0M,141.7
1256316848832524288,League 2,12,1.0,1,Caseyp12,155.66
1256316848832524288,League 2,12,1.0,2,ZLoftis9,135.86
1256316848832524288,League 2,12,2.0,3,PlayaHaterOTY,127.22
1256316848832524288,League 2,12,3.0,4,Gonzo4537,152.58
1256316848832524288,League 2,12,4.0,5,aIexwright,166.32
1256316848832524288,League 2,12,5.0,6,dbrauer23,137.66
1256316848832524288,League 2,12,5.0,7,Spicymeatball69,154.86
1256316848832524288,League 2,12,3.0,8,YourBeanFriend,115.72
1256316848832524288,League 2,12,2.0,9,NotKool,133.52
1256316848832524288,League 2,12,4.0,10,Nick0M,140.46
1256316848832524288,League 2,13,4.0,1,Caseyp12,139.2
1256316848832524288,League 2,13,1.0,2,ZLoftis9,108.16
1256316848832524288,League 2,13,2.0,3,PlayaHaterOTY,96.22
1256316848832524288,League 2,13,5.0,4,Gonzo4537,148.94
1256316848832524288,League 2,13,4.0,5,aIexwright,127.32
1256316848832524288,League 2,13,3.0,6,dbrauer23,123.64
1256316848832524288,League 2,13,5.0,7,Spicymeatball69,130.48
1256316848832524288,League 2,13,1.0,8,YourBeanFriend,92.92
1256316848832524288,League 2,13,3.0,9,NotKool,126.84
1256316848832524288,League 2,13,2.0,10,Nick0M,96.0
1256316848832524288,League 2,14,4.0,1,Caseyp12,138.74
1256316848832524288,League 2,14,1.0,2,ZLoftis9,91.68
1256316848832524288,League 2,14,2.0,3,PlayaHaterOTY,129.74
1256316848832524288,League 2,14,3.0,4,Gonzo4537,101.9
1256316848832524288,League 2,14,5.0,5,aIexwright,182.24
1256316848832524288,League 2,14,5.0,6,dbrauer23,104.36
1256316848832524288,League 2,14,4.0,7,Spicymeatball69,123.28
1256316848832524288,League 2,14,2.0,8,YourBeanFriend,126.76
1256316848832524288,League 2,14,3.0,9,NotKool,126.76
1256316848832524288,League 2,14,1.0,10,Nick0M,138.0
1256316848832524288,League 2,15,,1,Caseyp12,159.36
1256316848832524288,League 2,15,1.0,2,ZLoftis9,101.24
1256316848832524288,League 2,15,5.0,3,PlayaHaterOTY,215.62
1256316848832524288,League 2,15,1.0,4,Gonzo4537,147.16
1256316848832524288,League 2,15,,5,aIexwright,145.72
1256316848832524288,League 2,15,4.0,6,dbrauer23,92.72
1256316848832524288,League 2,15,2.0,7,Spicymeatball69,160.6
1256316848832524288,League 2,15,2.0,8,YourBeanFriend,159.0
1256316848832524288,League 2,15,4.0,9,NotKool,137.28
1256316848832524288,League 2,15,5.0,10,Nick0M,136.5
1256316848832524288,League 2,16,1.0,1,Caseyp12,140.32
1256316848832524288,League 2,16,3.0,2,ZLoftis9,120.32
1256316848832524288,League 2,16,5.0,3,PlayaHaterOTY,149.18
1256316848832524288,League 2,16,1.0,4,Gonzo4537,110.1
1256316848832524288,League 2,16,2.0,5,aIexwright,133.1
1256316848832524288,League 2,16,4.0,6,dbrauer23,115.06
1256316848832524288,League 2,16,2.0,7,Spicymeatball69,159.8
1256316848832524288,League 2,16,3.0,8,YourBeanFriend,135.1
1256316848832524288,League 2,16,5.0,9,NotKool,115.22
1256316848832524288,League 2,16,4.0,10,Nick0M,136.5
1256316848832524288,League 2,17,1.0,1,Caseyp12,161.08
1256316848832524288,League 2,17,,2,ZLoftis9,113.38
1256316848832524288,League 2,17,,3,PlayaHaterOTY,123.9
1256316848832524288,League 2,17,2.0,4,Gonzo4537,113.44
1256316848832524288,League 2,17,2.0,5,aIexwright,143.28
1256316848832524288,League 2,17,,6,dbrauer23,82.08
1256316848832524288,League 2,17,1.0,7,Spicymeatball69,125.34
1256316848832524288,League 2,17,,8,YourBeanFriend,130.92
1256316848832524288,League 2,17,,9,NotKool,101.82
1256316848832524288,League 2,17,,10,Nick0M,94.1
